"","SRR1033183","SRR1033278","SRR1033010","SRR1033228","SRR1033161","SRR1032930","SRR1032912","SRR1032941","SRR1033275","SRR1032971","SRR1032972","SRR1032981","SRR1032945","SRR1032948","SRR1032953","SRR1032982","SRR1032924","SRR1032964","SRR1032985","SRR1032989"
"A1BG",0,0,0,10,0,0,5,0,0,0,0,0,8,18,0,1,5,0,0,1
"A1BG-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A1CF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A2M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A2M-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A2ML1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A2MP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A4GALT",0,0,0,2,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
"A4GNT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AA06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAAS",0,163,1,42,152,126,39,214,120,0,12,180,0,50,164,3,21,1,0,1
"AACS",0,6,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0
"AACSP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADAT",0,0,0,0,0,0,0,0,0,4,0,99,0,0,10,0,0,70,0,0
"AAED1",0,16,0,0,0,0,3,0,46,0,0,0,0,29,0,0,0,0,0,0
"AAGAB",0,0,0,18,1,16,3,26,58,0,3,2,13,1,22,21,4,0,2,1
"AAK1",8,6,1,16,20,0,9,22,1,1,0,5,0,1,2,1,1,1,15,4
"AAMDC",479,218,55,158,160,0,196,72,46,15,3,66,42,164,319,62,112,65,50,284
"AAMP",211,6,5,49,122,1,7,2,5,6,52,286,2,6,10,49,52,3,77,28
"AANAT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAR2",128,98,0,7,109,1,33,1,1,0,96,0,173,7,0,32,29,8,0,18
"AARD",0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
"AARS",47,1,0,90,1,4,3,32,3,0,4,57,30,18,39,3,65,0,18,1
"AARS2",0,1,0,21,0,0,3,3,26,0,1,0,0,0,0,7,0,0,0,0
"AARSD1",95,143,0,8,15,108,115,1,63,10,172,161,3,5,63,16,3,165,7,6
"AASDH",0,0,31,10,0,5,0,1,12,0,13,0,0,0,0,0,10,0,2,0
"AASDHPPT",56,15,0,9,63,17,1,2,0,107,100,31,11,33,11,23,0,13,96,0
"AASS",2,42,0,14,1,1,0,29,7,0,0,0,25,7,9,123,0,1,7,0
"AATF",87,0,30,7,26,126,78,0,40,0,12,83,14,30,4,4,26,1,1,0
"AATK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AATK-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABAT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA1",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"ABCA10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
